Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
ec:3.2.2.9,ec:5.4.2.2,ec:2.3.1.222,,ec:5.3.1.1,ec:1.1.1.3,ec:3.2.1.22,ec:3.2.1.22,ec:2.7.8.26,ec:1.8.1.9,ec:2.7.1.148,ec:6.3.2.6,ec:6.3.5.2
ec:4.3.1.3,ec:2.6.1.1,ec:5.3.1.1,,ec:3.6.3.14,ec:1.1.1.1,ec:3.2.1.23,ec:3.2.1.23,ec:5.4.3.8,ec:1.4.1.1,ec:1.1.1.267,ec:6.3.5.2,ec:1.1.1.1
ec:4.2.1.33,ec:1.1.1.18,ec:2.2.1.2,,ec:3.6.1.1,ec:2.1.2.5,ec:6.3.2.4,ec:1.1.1.1,ec:2.10.1.1,ec:6.3.2.4,ec:4.6.1.12,ec:3.5.2.3,ec:2.7.4.6
ec:1.1.1.3,ec:2.7.2.11,ec:5.4.99.1,,ec:2.7.4.1,ec:1.5.1.5,ec:2.4.1.129,ec:2.7.1.30,ec:4.1.99.17,ec:2.1.2.1,ec:2.2.1.1,ec:2.7.7.7,ec:2.4.2.8
ec:6.3.4.5,ec:3.1.3.25,ec:5.3.1.12,,ec:2.7.9.1,ec:1.1.1.267,ec:2.4.1.227,ec:1.1.1.94,ec:1.1.1.1,ec:2.7.2.1,ec:1.17.7.4,ec:2.7.7.6,ec:3.5.1.5
ec:1.1.1.1,ec:2.7.2.4,ec:3.2.1.55,,ec:6.3.4.3,ec:1.4.1.1,ec:2.7.8.13,ec:2.3.1.39,ec:4.2.1.9,ec:5.1.1.1,ec:2.2.1.7,ec:6.3.5.3,ec:1.1.1.205
ec:4.2.1.9,ec:5.1.3.13,ec:5.3.1.4,,ec:3.1.3.11,ec:1.1.1.86,ec:3.4.16.4,ec:2.7.8.5,ec:6.3.4.3,ec:2.3.1.8,ec:2.7.7.60,ec:5.4.2.2,ec:1.17.4.1
ec:2.1.2.5,ec:3.2.1.21,ec:2.4.1.21,,ec:1.5.1.5,ec:1.5.1.38,ec:6.3.2.8,ec:1.1.1.100,ec:2.1.1.196,ec:6.3.2.8,ec:5.1.3.13,ec:4.1.1.23,ec:1.12.99.6
ec:1.4.1.1,ec:4.2.1.46,ec:2.7.7.27,,ec:4.1.2.13,ec:1.5.1.3,ec:2.3.1.129,ec:4.2.1.59,ec:2.1.2.5,ec:1.17.4.1,ec:2.5.1.31,ec:2.7.4.6,ec:2.4.2.10
ec:1.1.1.86,ec:1.2.1.11,ec:4.3.1.2,,ec:2.7.1.11,ec:2.1.2.2,ec:3.6.1.27,ec:3.1.4.46,ec:2.7.1.26,ec:6.3.2.1,ec:1.17.7.3,ec:2.4.2.8,ec:3.6.1.23
ec:4.4.1.21,ec:1.2.1.41,ec:3.2.1.22,,ec:4.1.1.49,ec:2.1.2.1,ec:2.5.1.55,ec:3.2.1.18,ec:1.5.1.5,ec:5.1.1.3,ec:4.2.1.46,ec:3.5.4.12,
ec:5.3.1.16,,ec:3.2.1.23,,ec:2.1.2.1,ec:2.1.2.3,ec:6.3.2.13,ec:2.3.1.180,ec:1.1.1.86,ec:1.11.1.15,,ec:2.1.2.2,
ec:2.1.2.1,,ec:2.4.1.18,,ec:2.7.2.3,ec:1.17.7.4,ec:3.2.1.18,,ec:1.5.1.38,ec:6.1.1.10,,ec:2.7.7.8,
ec:4.3.1.19,,ec:2.7.9.1,,ec:2.7.2.1,ec:2.1.3.2,ec:3.2.1.52,,ec:1.5.1.3,ec:1.1.1.49,,ec:6.3.5.5,
ec:4.3.1.18,,ec:1.1.1.1,,ec:4.2.1.11,ec:1.5.1.2,ec:6.3.2.9,,ec:2.1.2.2,ec:6.3.1.1,,ec:2.1.2.3,
ec:2.6.1.16,,ec:2.7.1.16,,ec:6.4.1.1,ec:2.1.3.3,ec:3.2.1.49,,ec:6.1.1.17,ec:6.3.2.9,,ec:2.1.3.2,
ec:6.3.5.5,,ec:5.4.2.2,,ec:5.4.2.12,ec:1.1.1.18,ec:2.4.1.182,,ec:2.1.2.1,ec:1.1.1.44,,ec:2.4.2.1,
ec:5.3.1.23,,ec:3.1.3.11,,ec:2.2.1.1,ec:1.2.1.12,,,ec:2.1.2.3,ec:1.1.1.42,,ec:3.5.1.5,
ec:5.4.2.12,,ec:5.3.1.25,,ec:2.6.1.52,ec:1.1.1.37,,,ec:2.1.2.9,ec:4.1.1.11,,ec:2.7.6.1,
ec:4.3.1.17,,ec:4.1.2.13,,ec:2.6.1.1,ec:1.1.1.23,,,ec:2.4.2.21,ec:3.2.1.21,,ec:1.1.1.205,
ec:2.1.3.2,,ec:2.7.1.11,,ec:2.3.1.8,ec:1.1.1.100,,,ec:2.6.1.52,,,ec:6.3.4.4,
ec:1.5.1.2,,ec:2.7.1.6,,ec:1.2.1.12,ec:1.3.5.1,,,ec:3.7.1.12,,,ec:1.17.4.1,
