uniref,ec
UNMAPPED,0
UniRef90_V1EAX6,0
UniRef90_D1KAJ3,0
UniRef90_A8RZB5,0
UniRef90_A7AJP8,0
UniRef90_D0TKA0,0
UniRef90_S0GJR7,0
UniRef90_A5KP23,0
UniRef90_A7ACF2,0
UniRef90_A5ZLI4,0
UniRef90_A5KRL0,0
UniRef90_UPI0001532979,0
UniRef90_B5CUP9,0
UniRef90_unknown,0
UniRef90_UPI000156FA79,0
UniRef90_A5ZQM1,0
UniRef90_A5KR94,0
UniRef90_R9J210,0
UniRef90_A7AJP9,0
UniRef90_B1QRR6,0
UniRef90_S7K4H7,0
UniRef90_B3C522,0
UniRef90_A5Z2Z6,0
UniRef90_A5KR92,0
UniRef90_W8YEK8,0
UniRef90_K0WTB3,0
UniRef90_A7VD49,0
UniRef90_A7B5X1,0
UniRef90_G9S8W7,0
UniRef90_W1YU10,0
UniRef90_E0XVH4,0
UniRef90_W1WT70,0
UniRef90_A5KMC2,0
UniRef90_UPI0001DE5DFE,0
UniRef90_D9UEL3,0
UniRef90_D1KAJ2,0
UniRef90_UPI00015BEA70,0
UniRef90_A7SPZ4,0
UniRef90_B5CLP5,0
UniRef90_A7VEU0,0
UniRef90_W2CMU2,0
UniRef90_E9RZN0,0
UniRef90_W8YNF3,0
UniRef90_Q3RFD0,0
UniRef90_A8ST13,0
UniRef90_E0MU53,0
UniRef90_B1A1E2,0
UniRef90_UPI00019656B7,0
UniRef90_D5GZ89,0
UniRef90_UPI00019660E0,0
UniRef90_N2B405,0
UniRef90_A5Z319,0
UniRef90_A7B8Q0,0
UniRef90_B0NWG2,0
UniRef90_B0NEX9,0
UniRef90_A8SIA6,0
UniRef90_F1YWH0,0
UniRef90_A7B6K2,0
UniRef90_T0NDH0,0
UniRef90_W4SH06,0
UniRef90_R9D7R0,0
UniRef90_A5KR91,0
UniRef90_A0A015S3B6,0
UniRef90_A6BKY7,0
UniRef90_R0CI69,0
UniRef90_K6AGA7,0
UniRef90_D4CI29,0
UniRef90_A5ZYU5,0
UniRef90_T1DKC0,0
UniRef90_W9ES03,0
UniRef90_D4PZQ0,0
UniRef90_I0UD96,0
UniRef90_H4BMF2,0
UniRef90_J7TUV6,0
UniRef90_K6AYS9,0
UniRef90_E3ZUM0,0
UniRef90_A5KRI2,0
UniRef90_M1XNQ3,0
UniRef90_D4VKI7,2.7.7.49
UniRef90_W6U045,0
UniRef90_N1ZD63,0
UniRef90_D1YGT1,0
UniRef90_G7SQ06,0
UniRef90_K5ZUN2,0
UniRef90_G6AJF3,0
UniRef90_K5ZU07,0
UniRef90_UPI0001FD331E,0
UniRef90_A8S6F0,0
UniRef90_K6AQ86,0
UniRef90_A6LE88,0
UniRef90_UPI0002487685,0
UniRef90_A0A016JHV3,0
UniRef90_K7F1M8,0
UniRef90_A5ZYU0,0
UniRef90_G1Q1K5,0
UniRef90_Q5L7N5,4.1.1.49
UniRef90_UPI000185C9BD,0
UniRef90_A0A026VT83,0
UniRef90_A4EB57,0
UniRef90_N2ASE1,0
UniRef90_R6XBD7,0
UniRef90_R6X5K9,0
UniRef90_K5ZBK6,0
